BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   9014.837718, 1.636,   219.0,    117455.5,    320998.9,    311575.5,    219100.4,    285412.5,    128036.0
   9014.839393, 1.641,   218.0,    118340.5,    324263.5,    313083.3,    220477.5,    287229.4,    128546.8
   9014.841068, 1.647,   216.0,    119482.5,    327777.6,    316825.2,    222847.7,    290213.2,    130459.0
   9014.842742, 1.652,   219.0,    119756.5,    327293.2,    316262.7,    223346.3,    290330.2,    130474.0
   9014.844416, 1.658,   214.0,    119428.4,    326457.9,    316799.5,    223253.9,    289260.5,    130288.3
   9014.846091, 1.663,   207.0,    118354.8,    325095.4,    315095.9,    221116.6,    287613.5,    129771.1
   9014.847767, 1.669,   198.0,    121620.0,    331725.9,    322018.6,    226788.5,    294456.9,    132228.8
   9014.849453, 1.675,   196.0,    118217.7,    324142.1,    313075.8,    221014.6,    286009.0,    129666.3
   9014.851127, 1.681,   201.0,    118981.0,    326483.9,    316404.3,    222613.4,    289101.2,    129885.9
   9014.852805, 1.687,   197.0,    116569.8,    320673.4,    310208.9,    219517.5,    283782.5,    127547.8
   9014.854483, 1.693,   194.0,    117114.3,    321537.2,    310653.1,    219829.2,    285340.6,    127609.3
   9014.856159, 1.699,   195.0,    114225.4,    312376.0,    301882.4,    212861.0,    275659.1,    123936.7
   9014.857839, 1.705,   193.0,    113178.4,    310535.6,    301565.7,    211504.7,    275048.9,    123923.3
   9014.859515, 1.711,   194.0,    113278.9,    309884.6,    299833.3,    212511.8,    273685.6,    123829.6
   9014.861191, 1.717,   194.0,    116150.1,    316771.4,    306760.2,    217711.0,    281426.5,    126532.8
   9014.862868, 1.724,   190.0,    115646.5,    317308.8,    307285.0,    217712.6,    281816.9,    126816.7
   9014.864543, 1.730,   188.0,    115723.1,    316329.8,    307114.1,    217037.0,    280579.2,    126321.9
   9014.866218, 1.737,   190.0,    115476.1,    315027.2,    305724.0,    215158.5,    279970.6,    125805.8
   9014.867892, 1.743,   189.0,    115565.3,    316983.3,    305773.6,    216028.2,    279216.4,    125587.9
   9014.869569, 1.750,   192.0,    115657.7,    315413.2,    305036.3,    214718.1,    279725.8,    125597.7
   9014.871244, 1.757,   198.0,    115664.3,    317603.2,    308403.3,    216586.8,    280286.9,    126244.3
   9014.872918, 1.763,   202.0,    114594.6,    315293.4,    305254.4,    214839.4,    278473.2,    126061.0
   9014.874593, 1.770,   198.0,    114519.8,    311959.8,    300937.2,    212759.5,    274301.5,    123944.9
   9014.876269, 1.777,   199.0,    114542.2,    311639.8,    302287.0,    213533.1,    275656.0,    124650.7
   9014.877943, 1.784,   193.0,    115983.2,    316552.2,    306697.5,    216387.8,    279764.6,    126055.2
   9014.879619, 1.791,   196.0,    112757.2,    307926.3,    297967.7,    209734.0,    273002.3,    122037.0
   9014.881295, 1.799,   195.0,    110175.2,    300850.7,    292186.2,    205518.6,    267643.6,    119946.5
   9014.882970, 1.806,   192.0,    110595.8,    301823.7,    292142.2,    206215.1,    268017.9,    120729.9
   9014.884646, 1.813,   193.0,    113135.4,    308865.1,    299061.0,    210808.3,    273791.7,    123228.4
   9014.886326, 1.821,   193.0,    116294.7,    317177.0,    307043.5,    216694.3,    280039.7,    125856.4
   9014.888002, 1.828,   190.0,    114022.0,    311397.5,    300914.1,    211551.9,    276077.8,    124172.5
   9014.889679, 1.836,   194.0,    109107.6,    297236.4,    289691.7,    203725.1,    265682.1,    119492.6
   9014.891355, 1.844,   197.0,    111470.3,    305879.9,    295222.8,    208123.0,    268562.9,    121092.9
   9014.893032, 1.851,   203.0,    105079.6,    286881.9,    277927.7,    195154.1,    254336.1,    114542.8
   9014.894718, 1.859,   198.0,    105354.1,    286895.9,    278392.2,    195776.0,    254676.9,    114681.5
   9014.896393, 1.867,   198.0,    103578.0,    282046.9,    273598.2,    193503.7,    249944.2,    112697.5
   9014.898075, 1.875,   194.0,    101528.9,    275519.6,    267911.2,    188655.5,    244042.8,    109817.6
